Station_Id,Station_Name,Station_Lat,Station_Lon,Station_Docks,Overall,Weekday,Weekend
169,"Porchester Place, Paddington",51.514746,-0.165164,18,46.32142857,50.05,37
17,"Hatton Wall, Holborn",51.521661,-0.109006,26,62.42857143,78.5,22.25
170,"Hardwick Street, Clerkenwell",51.527842,-0.108068,30,25.92857143,30.5,14.5
171,"Collingham Gardens, Earl's Court",51.491615,-0.186753,14,20.42857143,20.95,19.125
172,"Sumner Place, South Kensington",51.491211,-0.173715,19,20.21428571,22.7,14
173,"Waterloo Road, South Bank",51.50486,-0.113001,15,34.89285714,41.35,18.75
174,"Strand, Strand",51.512529,-0.115163,36,46.75,56.55,22.25
175,"Appold Street, Liverpool Street",51.521743,-0.081118,26,31.28571429,40.65,7.875
176,"Gloucester Terrace, Bayswater",51.517919,-0.188098,23,23.57142857,25,20
177,"Ashley Place, Victoria",51.49616,-0.140947,25,75.96428571,92.05,35.75
178,"Warwick Square, Pimlico",51.489856,-0.141923,19,31.82142857,33.35,28
18,"Drury Lane, Covent Garden",51.51477,-0.122219,27,67.35714286,77.65,41.625
180,"North Audley Street, Mayfair",51.512911,-0.153645,17,31.57142857,32.15,30.125
181,"Belgrave Square, Belgravia",51.499412,-0.152317,21,20.78571429,24.5,11.5
182,"Bell Street, Marylebone",51.522029,-0.165842,18,31.17857143,38.65,12.5
183,"Riverlight North, Nine Elms",51.482362,-0.136123,24,26.85714286,27.6,25
184,"Portland Place, Marylebone",51.520715,-0.145211,34,39.39285714,48.35,17
185,"Alderney Street, Pimlico",51.488057,-0.140741,14,34.21428571,36.05,29.625
186,"South Wharf Road, Paddington",51.517335,-0.17581,16,51.85714286,65.15,18.625
187,"Queen's Gate (South), South Kensington",51.492479,-0.178433,25,31.5,32.05,30.125
188,"Nutford Place, Marylebone",51.516517,-0.164393,18,26.67857143,27.95,23.5
189,"Claremont Square, Angel",51.531666,-0.109914,18,26.75,30.1,18.375
19,"Taviton Street, Bloomsbury",51.52505,-0.131161,30,41.64285714,51.7,16.5
190,"Rampayne Street, Pimlico",51.489975,-0.132845,21,42.42857143,48.2,28
191,"Hyde Park Corner, Hyde Park",51.503117,-0.15352,28,184.5,147.35,277.375
192,"Wardour Street, Soho",51.512515,-0.133201,16,54.28571429,56.5,48.75
193,"Bankside Mix, Bankside",51.505817,-0.100186,60,65.64285714,76.45,38.625
194,"Hop Exchange, The Borough",51.504627,-0.091773,49,124.5714286,140.85,83.875
195,"Milroy Walk, South Bank",51.507244,-0.106237,30,61.82142857,73.85,31.75
197,"Stamford Street, South Bank",51.505569,-0.111606,27,46.42857143,57.7,18.25
199,"Great Tower Street, Monument",51.510484,-0.082989,24,75.75,89.15,42.25
2,"Phillimore Gardens, Kensington",51.499606,-0.197574,37,40.39285714,39.85,41.75
20,"Drummond Street, Euston",51.527736,-0.135273,28,40.57142857,53.65,7.875
200,"LMU Commercial Road, Whitechapel",51.514924,-0.066078,14,32,34.7,25.25
201,"Dorset Square, Marylebone",51.522596,-0.161113,16,35.25,41.95,18.5
202,"Leman Street, Aldgate",51.512363,-0.069542,37,75.82142857,90.8,38.375
203,"West Smithfield Rotunda, Farringdon",51.518218,-0.100791,15,47.28571429,60.85,13.375
204,"Margery Street, Clerkenwell",51.526599,-0.112432,19,28.25,31.9,19.125
206,"New Road 1, Whitechapel",51.518154,-0.062697,36,50.03571429,53.1,42.375
208,"Mallory Street, Marylebone",51.525051,-0.166304,20,11.64285714,11.55,11.875
209,"Denyer Street, Knightsbridge",51.493583,-0.165101,30,14.17857143,16.2,9.125
21,"Hampstead Road (Cartmel), Euston",51.530078,-0.138846,16,11.85714286,13.35,8.125
211,"Cadogan Place, Knightsbridge",51.494645,-0.158105,34,18.96428571,20.45,15.25
212,"Campden Hill Road, Notting Hill",51.506584,-0.199004,17,15.92857143,17.45,12.125
213,"Wellington Arch, Hyde Park",51.50274,-0.149569,36,104.1428571,91.35,136.125
214,"Endsleigh Gardens, Euston",51.526838,-0.130504,32,58.42857143,72.65,22.875
215,"Moorfields, Moorgate",51.519069,-0.088285,54,91.75,122.3,15.375
216,"Old Brompton Road, South Kensington",51.490945,-0.18119,30,34.89285714,37.65,28
217,"Wormwood Street, Liverpool Street",51.516154,-0.082422,16,120,154.7,33.25
218,"St. Luke's Church, Chelsea",51.489716,-0.170194,20,31.07142857,33.85,24.125
219,"Bramham Gardens, Earl's Court",51.490163,-0.190393,29,39.64285714,40.75,36.875
